                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9865,                 3.6054,                 2.3702,                0.02144,                0.10088,                0.01872,                0.00484,                 2.3677,                    inf,                 3.1415,               0.067611,             0.00032716,             0.00032716
                      1,                 1.8029,                 3.1837,                 2.2591,                0.26712,                 0.0953,                0.02775,                0.00718,                 2.4611,                  8.008,                 3.1248,               0.034611,             0.00066045,             0.00066045
                      2,                 1.7907,                 3.0922,                 2.2446,                 0.1396,                0.08569,                0.02064,                0.00502,                 2.6335,                  4.579,                  3.257,              0.0016109,             0.00099358,             0.00099358
                      3,                 1.7846,                 3.0708,                 2.2517,                0.26115,                0.08541,                0.03661,                0.01058,                 2.3872,                 4.9901,                 2.8176,             0.00099945,             0.00099945,             0.00099945
                      4,                 1.7615,                 3.0151,                 2.2202,                0.20482,                0.19099,                0.06245,                0.02416,                 2.1769,                 4.0401,                 2.5956,             0.00099945,             0.00099945,             0.00099945
                      5,                 1.7432,                 2.9522,                 2.1981,                0.28836,                0.15611,                0.06858,                0.02315,                 2.1915,                 5.1576,                 2.5679,             0.00099902,             0.00099902,             0.00099902
                      6,                  1.726,                 2.9269,                 2.1865,                 0.2733,                0.18807,                0.12285,                0.04458,                 2.0403,                 3.1392,                 2.4272,             0.00099847,             0.00099847,             0.00099847
                      7,                   1.71,                 2.8897,                 2.1579,                0.13795,                 0.1508,                0.07846,                0.02882,                 2.1164,                 3.4319,                  2.545,              0.0009978,              0.0009978,              0.0009978
                      8,                 1.7046,                 2.8541,                 2.1595,                0.13387,                0.18192,                0.06493,                0.02709,                 1.9758,                 3.5637,                 2.3461,             0.00099701,             0.00099701,             0.00099701
                      9,                 1.6849,                  2.839,                  2.141,                 0.1589,                0.18988,                 0.1044,                0.04799,                 1.8477,                 2.9234,                 2.2448,              0.0009961,              0.0009961,              0.0009961
                     10,                 1.6825,                 2.8158,                 2.1402,                0.20946,                0.18524,                0.11736,                0.05051,                 1.9756,                 3.6389,                 2.3806,             0.00099506,             0.00099506,             0.00099506
                     11,                 1.6838,                 2.8109,                 2.1332,                0.20839,                0.23287,                0.12172,                0.05986,                 1.7606,                 2.9848,                  2.177,             0.00099391,             0.00099391,             0.00099391
                     12,                 1.6536,                 2.7536,                 2.1096,                0.25987,                0.23928,                 0.1572,                0.07141,                 1.8007,                 3.0525,                 2.1909,             0.00099263,             0.00099263,             0.00099263
                     13,                 1.6611,                  2.754,                 2.1088,                 0.1959,                 0.2269,                0.13868,                0.06452,                 1.9005,                 2.8826,                 2.2804,             0.00099123,             0.00099123,             0.00099123
                     14,                 1.6667,                 2.7533,                 2.1085,                0.15842,                0.15416,                0.08102,                0.03369,                 2.0189,                 3.4371,                 2.4017,             0.00098972,             0.00098972,             0.00098972
                     15,                 1.6534,                 2.7208,                 2.1018,                0.22182,                0.23423,                0.14335,                0.06633,                 1.8617,                 2.8606,                 2.2029,             0.00098808,             0.00098808,             0.00098808
                     16,                 1.6435,                 2.6906,                 2.0864,                0.28653,                0.20613,                0.15933,                0.06354,                 1.9762,                 2.9468,                 2.3401,             0.00098632,             0.00098632,             0.00098632
                     17,                 1.6513,                 2.6879,                 2.0972,                0.21322,                0.22553,                0.13687,                0.07326,                 1.7079,                 2.7366,                 2.1271,             0.00098445,             0.00098445,             0.00098445
                     18,                 1.6328,                 2.6864,                 2.0828,                0.24864,                0.26987,                0.18732,                0.09534,                 1.7948,                 2.7514,                 2.1431,             0.00098246,             0.00098246,             0.00098246
                     19,                 1.6384,                 2.6599,                   2.08,                0.28216,                0.23026,                0.17126,                 0.0848,                 1.8015,                 2.8508,                 2.1815,             0.00098035,             0.00098035,             0.00098035
                     20,                 1.6264,                 2.6346,                 2.0738,                 0.2289,                0.23938,                0.16419,                0.08114,                 1.8057,                 2.6596,                 2.1618,             0.00097812,             0.00097812,             0.00097812
                     21,                  1.619,                 2.6297,                   2.07,                0.26177,                0.27597,                0.19592,                0.09204,                  1.823,                 2.6395,                 2.1991,             0.00097577,             0.00097577,             0.00097577
                     22,                 1.6237,                 2.6436,                 2.0793,                0.27542,                0.22524,                 0.1787,                 0.0921,                 1.7445,                 2.9651,                 2.1153,             0.00097331,             0.00097331,             0.00097331
