                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.917,                 3.5026,                 2.3665,                0.35284,                0.06529,                0.02662,                0.00823,                 2.3988,                  6.013,                 2.8957,               0.067258,             0.00033073,             0.00033073
                      1,                 1.8094,                 3.1711,                 2.2826,                0.29251,                0.12208,                0.06065,                0.01953,                 2.1658,                 3.7949,                 2.5501,               0.034255,             0.00066078,             0.00066078
                      2,                 1.7883,                 3.0988,                  2.258,                0.26714,                0.14084,                0.04873,                 0.0164,                 2.2202,                 4.3786,                  2.579,              0.0012479,             0.00098752,             0.00098752
                      3,                 1.7888,                 3.0789,                 2.2536,                0.25636,                0.13812,                 0.0912,                0.03083,                 2.2026,                 3.1774,                 2.5951,             0.00098515,             0.00098515,             0.00098515
                      4,                 1.7606,                 3.0183,                 2.2244,                0.13598,                0.15397,                0.08346,                0.02696,                  2.186,                 3.3155,                 2.5979,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.7378,                 2.9625,                 2.2028,                0.34689,                0.15702,                0.10158,                0.03235,                 2.1768,                 3.1608,                 2.5438,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.7268,                 2.9477,                 2.1856,                0.24984,                0.16092,                0.10002,                0.03308,                 2.2099,                  3.194,                 2.5865,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.7108,                 2.8906,                 2.1639,                0.18302,                0.20578,                0.13207,                0.05909,                 1.9208,                  2.883,                 2.2699,              0.0009703,              0.0009703,              0.0009703
                      8,                  1.705,                 2.8687,                 2.1645,                0.19097,                0.22633,                0.12141,                0.04706,                 1.9832,                 3.0174,                 2.3557,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.6878,                 2.8391,                  2.148,                0.21798,                0.21681,                0.14017,                0.05673,                 1.9855,                 2.9249,                 2.3551,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.6872,                 2.8286,                 2.1418,                0.25426,                0.22833,                0.17393,                0.08028,                 1.8155,                 2.7681,                 2.1873,             0.00095545,             0.00095545,             0.00095545
                     11,                  1.691,                 2.8079,                 2.1391,                0.21765,                0.25189,                0.16294,                0.06224,                 1.9957,                 2.8414,                 2.3525,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.6669,                 2.7533,                 2.1178,                0.27117,                0.23943,                0.17407,                0.08844,                 1.7504,                 2.7791,                 2.1105,             0.00094555,             0.00094555,             0.00094555
                     13,                  1.669,                 2.7654,                 2.1157,                0.19226,                0.22496,                0.14041,                0.05433,                  1.979,                 3.0166,                 2.3322,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.6723,                 2.7556,                 2.1203,                0.25667,                0.28174,                0.18589,                0.09182,                 1.7667,                 2.6165,                 2.1348,             0.00093565,             0.00093565,             0.00093565
                     15,                  1.656,                 2.7229,                 2.1126,                0.24924,                0.26557,                0.19363,                 0.0976,                 1.7707,                   2.69,                 2.1042,              0.0009307,              0.0009307,              0.0009307
                     16,                  1.648,                 2.7131,                 2.1031,                0.29901,                 0.2705,                0.18658,                0.08739,                 1.8331,                 2.7111,                 2.1778,             0.00092575,             0.00092575,             0.00092575
                     17,                 1.6504,                 2.7074,                 2.1073,                0.33258,                0.25452,                0.20902,                0.09969,                 1.7392,                  2.535,                 2.0926,              0.0009208,              0.0009208,              0.0009208
                     18,                 1.6405,                 2.7001,                 2.0941,                0.25752,                0.25691,                0.17821,                0.08058,                 1.8101,                 2.6164,                 2.1459,             0.00091585,             0.00091585,             0.00091585
                     19,                 1.6391,                 2.6635,                 2.0796,                0.33402,                0.29197,                0.22415,                0.11346,                 1.7427,                 2.4881,                 2.0936,              0.0009109,              0.0009109,              0.0009109
                     20,                 1.6297,                 2.6389,                 2.0727,                0.27203,                0.26476,                 0.1845,                0.09997,                 1.6474,                 2.5546,                 2.0309,             0.00090595,             0.00090595,             0.00090595
                     21,                 1.6283,                 2.6535,                 2.0819,                0.26791,                0.27361,                0.19062,                 0.0951,                 1.7775,                 2.5518,                 2.1148,               0.000901,               0.000901,               0.000901
                     22,                 1.6286,                 2.6544,                 2.0758,                0.32666,                0.29015,                0.21092,                0.10566,                 1.7344,                 2.4763,                 2.0791,             0.00089605,             0.00089605,             0.00089605
                     23,                  1.624,                 2.6247,                 2.0697,                0.30672,                  0.281,                0.23219,                0.12044,                 1.7514,                 2.4824,                 2.0949,              0.0008911,              0.0008911,              0.0008911
                     24,                 1.6123,                 2.6335,                 2.0636,                0.32909,                0.24981,                0.22016,                0.11773,                 1.6813,                 2.5113,                 2.0327,             0.00088615,             0.00088615,             0.00088615
                     25,                 1.6217,                 2.6084,                 2.0685,                0.34137,                 0.2831,                0.24183,                0.10793,                 1.9127,                  2.455,                 2.2414,              0.0008812,              0.0008812,              0.0008812
                     26,                 1.6156,                 2.6134,                 2.0548,                0.32597,                0.29104,                0.25004,                0.12746,                 1.7317,                 2.4137,                 2.0744,             0.00087625,             0.00087625,             0.00087625
                     27,                 1.6138,                 2.5888,                 2.0564,                0.33883,                0.29134,                0.24248,                0.10553,                 1.9007,                 2.4542,                 2.2402,              0.0008713,              0.0008713,              0.0008713
                     28,                 1.6059,                 2.5716,                 2.0525,                0.32851,                0.27557,                 0.2269,                0.10861,                 1.7587,                  2.548,                 2.1283,             0.00086635,             0.00086635,             0.00086635
                     29,                 1.6024,                 2.5808,                 2.0562,                0.31248,                0.27974,                0.21558,                0.10649,                 1.7333,                 2.5324,                 2.0939,              0.0008614,              0.0008614,              0.0008614
                     30,                 1.6018,                 2.5796,                  2.051,                0.34143,                0.28453,                  0.233,                0.11299,                 1.7525,                 2.5006,                 2.1096,             0.00085645,             0.00085645,             0.00085645
                     31,                 1.5812,                 2.5339,                 2.0274,                0.36289,                0.34218,                0.26952,                0.14033,                 1.7191,                 2.3679,                 2.0618,              0.0008515,              0.0008515,              0.0008515
                     32,                 1.5857,                 2.5497,                 2.0422,                0.33692,                0.30824,                0.25444,                0.14584,                 1.5671,                 2.3583,                 1.9398,             0.00084655,             0.00084655,             0.00084655
                     33,                 1.5944,                  2.549,                 2.0464,                0.38568,                0.28727,                0.26128,                 0.1498,                 1.5856,                 2.3321,                 1.9625,              0.0008416,              0.0008416,              0.0008416
                     34,                 1.5842,                  2.533,                 2.0308,                0.39474,                  0.297,                 0.2625,                0.15293,                 1.5749,                 2.2939,                 1.9627,             0.00083665,             0.00083665,             0.00083665
                     35,                  1.588,                 2.5394,                 2.0401,                0.33954,                0.31932,                0.27292,                0.15974,                 1.5709,                 2.2864,                 1.9197,              0.0008317,              0.0008317,              0.0008317
                     36,                 1.5811,                 2.5123,                 2.0358,                0.41662,                0.30484,                0.27687,                0.15616,                 1.5801,                 2.2806,                 1.9563,             0.00082675,             0.00082675,             0.00082675
                     37,                 1.5865,                  2.525,                 2.0339,                0.33097,                0.30344,                0.26182,                0.13316,                 1.7135,                 2.3238,                 2.0628,              0.0008218,              0.0008218,              0.0008218
                     38,                 1.5873,                 2.5167,                 2.0338,                0.37507,                0.31753,                0.27554,                0.16904,                 1.4987,                 2.2637,                 1.8927,             0.00081685,             0.00081685,             0.00081685
                     39,                 1.5751,                  2.491,                 2.0143,                0.35961,                0.29973,                0.26539,                 0.1492,                  1.647,                 2.3689,                  1.996,              0.0008119,              0.0008119,              0.0008119
                     40,                 1.5699,                 2.4894,                 2.0208,                0.36216,                0.32712,                0.28981,                0.15438,                 1.6786,                 2.2547,                 2.0173,             0.00080695,             0.00080695,             0.00080695
                     41,                 1.5672,                 2.4937,                 2.0176,                0.37082,                0.32528,                0.28075,                0.16496,                 1.5436,                 2.2543,                 1.9141,               0.000802,               0.000802,               0.000802
                     42,                  1.571,                  2.462,                 2.0118,                0.42483,                0.27189,                0.27336,                0.16991,                 1.4803,                 2.2938,                 1.8612,             0.00079705,             0.00079705,             0.00079705
                     43,                 1.5669,                 2.4821,                 2.0096,                0.38447,                0.30423,                0.26632,                 0.1653,                  1.474,                 2.2456,                 1.8855,              0.0007921,              0.0007921,              0.0007921
                     44,                 1.5638,                 2.4599,                 2.0155,                0.35874,                0.30781,                0.27646,                0.15619,                 1.5829,                 2.2329,                 1.9293,             0.00078715,             0.00078715,             0.00078715
                     45,                 1.5617,                 2.4547,                 2.0097,                0.32393,                0.32325,                0.26822,                0.16385,                 1.5139,                 2.3003,                 1.8752,              0.0007822,              0.0007822,              0.0007822
                     46,                 1.5638,                 2.4641,                 2.0097,                0.33918,                0.33481,                0.26788,                0.15894,                 1.5395,                 2.3103,                 1.9028,             0.00077725,             0.00077725,             0.00077725
                     47,                  1.564,                 2.4501,                 2.0061,                0.40086,                0.30137,                0.28458,                 0.1709,                 1.4875,                 2.2322,                 1.8631,              0.0007723,              0.0007723,              0.0007723
                     48,                 1.5525,                 2.4466,                 2.0007,                0.43944,                0.32719,                  0.308,                0.17666,                 1.5743,                 2.1821,                 1.9268,             0.00076735,             0.00076735,             0.00076735
                     49,                 1.5541,                 2.4406,                 1.9983,                0.40237,                0.30406,                0.28668,                0.17999,                 1.4841,                 2.2597,                 1.8713,              0.0007624,              0.0007624,              0.0007624
                     50,                 1.5624,                 2.4488,                 2.0059,                0.40412,                0.31315,                0.30072,                 0.1822,                 1.4853,                 2.2135,                 1.8741,             0.00075745,             0.00075745,             0.00075745
                     51,                 1.5529,                  2.445,                 2.0009,                 0.3801,                0.30614,                0.28479,                0.17156,                 1.5466,                  2.287,                 1.9173,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.5464,                 2.4262,                 1.9961,                0.44585,                0.31476,                0.30841,                0.18006,                 1.5614,                 2.2194,                 1.9132,             0.00074755,             0.00074755,             0.00074755
                     53,                 1.5476,                 2.4105,                 1.9937,                 0.3952,                0.32285,                0.29134,                0.17707,                 1.5012,                 2.2752,                 1.8675,              0.0007426,              0.0007426,              0.0007426
                     54,                 1.5423,                 2.4178,                 1.9938,                 0.4009,                0.33405,                0.30733,                0.18415,                 1.4976,                 2.1879,                 1.8777,             0.00073765,             0.00073765,             0.00073765
                     55,                 1.5451,                 2.4106,                 2.0017,                0.40238,                0.31898,                 0.2957,                  0.174,                  1.568,                 2.2162,                 1.9147,              0.0007327,              0.0007327,              0.0007327
                     56,                 1.5409,                 2.3837,                 1.9881,                0.43422,                0.30784,                0.29426,                0.18116,                 1.4629,                 2.1991,                 1.8657,             0.00072775,             0.00072775,             0.00072775
                     57,                 1.5497,                  2.405,                 1.9898,                0.36944,                0.31288,                0.29317,                0.17977,                 1.4813,                  2.251,                 1.8647,              0.0007228,              0.0007228,              0.0007228
                     58,                 1.5423,                  2.395,                 1.9879,                0.40567,                 0.3163,                0.30911,                0.18697,                 1.4954,                 2.1588,                 1.8599,             0.00071785,             0.00071785,             0.00071785
                     59,                 1.5456,                 2.4052,                 1.9914,                0.46243,                0.31938,                0.31491,                0.19105,                 1.5189,                  2.185,                 1.8867,              0.0007129,              0.0007129,              0.0007129
                     60,                 1.5333,                 2.3799,                 1.9799,                0.46728,                0.31433,                0.31494,                0.18901,                 1.5636,                 2.1866,                 1.9003,             0.00070795,             0.00070795,             0.00070795
                     61,                 1.5287,                 2.3846,                 1.9864,                0.44748,                0.34682,                 0.3133,                0.19539,                 1.4542,                 2.1467,                  1.838,               0.000703,               0.000703,               0.000703
                     62,                 1.5278,                 2.3774,                 1.9771,                 0.4022,                0.34122,                0.30641,                0.19547,                 1.4002,                 2.1131,                 1.7958,             0.00069805,             0.00069805,             0.00069805
                     63,                 1.5347,                 2.3746,                 1.9789,                0.44944,                0.31113,                0.31488,                0.19242,                  1.457,                 2.1226,                 1.8175,              0.0006931,              0.0006931,              0.0006931
                     64,                 1.5258,                 2.3514,                 1.9708,                0.43643,                0.31618,                0.31408,                 0.1987,                 1.4531,                 2.1482,                 1.8279,             0.00068815,             0.00068815,             0.00068815
                     65,                 1.5321,                 2.3556,                 1.9754,                  0.424,                0.36863,                0.32306,                0.19942,                 1.4703,                 2.1201,                 1.8419,              0.0006832,              0.0006832,              0.0006832
                     66,                 1.5322,                 2.3407,                 1.9797,                0.40195,                0.35658,                 0.3156,                  0.198,                  1.436,                 2.1252,                 1.8074,             0.00067825,             0.00067825,             0.00067825
                     67,                 1.5254,                 2.3528,                 1.9774,                0.44474,                0.34584,                0.33122,                0.20751,                 1.4478,                 2.0974,                 1.8237,              0.0006733,              0.0006733,              0.0006733
