                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.819,                 3.3872,                 2.2024,                0.46473,                0.08444,                0.02751,                 0.0075,                 2.5576,                 12.184,                  3.225,               0.067258,             0.00033073,             0.00033073
                      1,                 1.7678,                 3.0256,                 2.1737,                0.30793,                0.14432,                0.08126,                0.02808,                 2.1692,                 3.2384,                 2.4662,               0.034251,             0.00065749,             0.00065749
                      2,                 1.7515,                 2.9257,                 2.1584,                0.25867,                0.14364,                0.05438,                0.02054,                 2.0922,                 3.7394,                 2.3875,              0.0012381,             0.00097765,             0.00097765
                      3,                 1.7253,                 2.9002,                 2.1378,                 0.2307,                0.16575,                0.09572,                0.04195,                  1.945,                 3.1384,                 2.3049,              0.0009703,              0.0009703,              0.0009703
                      4,                 1.7083,                 2.8597,                 2.1161,                0.26034,                0.20165,                0.11751,                0.05047,                 1.8558,                 3.2847,                 2.2082,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6931,                 2.7795,                 2.0945,                0.24444,                 0.1712,                0.07643,                0.03081,                 1.9836,                 3.5612,                 2.3817,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.6748,                  2.765,                 2.0786,                0.14667,                 0.2615,                0.13193,                0.05693,                 1.9061,                 3.4128,                 2.2266,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.6644,                 2.7266,                 2.0744,                0.24184,                0.27244,                0.16778,                 0.0719,                 1.9126,                 2.7424,                 2.2383,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.6506,                 2.6736,                 2.0476,                0.20808,                0.24685,                0.16684,                 0.0629,                 1.9925,                 2.7633,                 2.3231,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.6295,                 2.6374,                 2.0361,                0.27188,                0.25948,                 0.1861,                 0.0795,                 1.8679,                 2.7111,                 2.2021,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.6153,                 2.6229,                 2.0248,                0.26562,                0.26127,                  0.181,                0.08813,                 1.7556,                 2.7897,                 2.0814,              0.0009109,              0.0009109,              0.0009109
                     11,                  1.623,                   2.59,                  2.021,                0.22021,                0.25813,                0.18159,                0.08029,                 1.8485,                 2.9167,                 2.1587,               0.000901,               0.000901,               0.000901
                     12,                 1.6125,                 2.5933,                 2.0201,                0.29893,                0.25664,                0.20895,                0.07768,                 2.0445,                  2.648,                 2.3266,              0.0008911,              0.0008911,              0.0008911
